id,index,title,pronunciation,label
108,1,愛されなくても君がいる,あいされなくてもきみがいる,あ
181,2,愛して愛して愛して,あいしてあいしてあいして,あ
140,3,アイスドロップ,あいすどろっぷ,あ
116,4,アイディスマイル,あいでぃすまいる,あ
231,5,アイデンティティ,あいでんてぃてぃ,あ
57,6,アイドル新鋭隊,あいどるしんえいたい,あ
304,7,Iなんです,あいなんです,あ
144,8,アイノマテリアル,あいのまてりある,あ
293,9,アイロニ,あいろに,あ
244,10,Awake Now,あうぇいくなう,あ
245,11,阿吽のビーツ,あうんのびーつ,あ
232,12,青色絵具,あおいろえのぐ,あ
93,13,青く駆けろ！,あおくかけろ,あ
190,14,悪ノ娘,あくのむすめ,あ
191,15,悪ノ召使,あくのめしつかい,あ
133,16,悪魔の踊り方,あくまのおどりかた,あ
241,17,アサガオの散る頃に,あさがおのちるころに,あ
18,18,アスノヨゾラ哨戒班,あすのよぞらしょうかいはん,あ
271,19,あったかいと,あったかいと,あ
289,20,天ノ弱,あまのじゃく,あ
285,21,ÅMARA(大未来電脳),あまらだいみらいでんのう,あ
210,22,雨とペトラ,あめとぺとら,あ
82,23,alive,あらいぶ,あ
115,24,アンノウン・マザーグース,あんのうんまざーぐーす,あ
288,25,アンハッピーリフレイン,あんはっぴーりふれいん,あ
120,26,いかないで,いかないで,い
132,27,「１」,いち,い
306,28,1925,いちきゅーにーごー,い
292,29,いちにのさんで,いちにのさんで,い
22,30,命に嫌われている,いのちにきらわれている,い
211,31,イフ,いふ,い
95,32,威風堂々,いふうどうどう,い
284,33,インビジブル,いんびじぶる,い
174,34,いーあるふぁんくらぶ,いーあるふぁんくらぶ,い
338,35,Where shall we go?,うぇあしゃるうぃーごー,う
151,36,泡沫未来,うたかたみらい,う
204,37,うっせぇわ,うっせぇわ,う
280,38,虚ろを扇ぐ,うつろをあおぐ,う
75,39,ウミユリ海底譚,うみゆりかいていたん,う
114,40,裏表ラバーズ,うらおもてらばーず,う
213,41,ヴァンパイア,ヴぁんぱいあ,う
170,42,ヴィラン,ヴぃらん,う
236,43,Voices,ヴぉいしーず,う
246,44,エイリアンエイリアン,えいりあんえいりあん,え
100,45,ECHO,えこー,え
299,46,エゴイスト,えごいすと,え
225,47,エゴロック,えごろっく,え
332,48,エピローグに君はいない,えぴろーぐにきみはいない,え
162,49,エンドマークに希望と涙を添えて,えんどまーくにきぼうとなみだをそえて,え
106,50,お気に召すまま,おきにめすまま,お
117,51,ODDS＆ENDS,おっずあんどえんず,お
92,52,乙女解剖,おとめかいぼう,お
205,53,踊,おど,お
240,54,踊れオーケストラ,おどれおーけすとら,お
167,55,オルターエゴ,おるたーえご,お
86,56,on the rocks,おんざろっくす,お
196,57,オーダーメイド,おーだーめいど,お
90,58,限りなく灰色へ,かぎりなくはいいろへ,か
171,59,カゲロウデイズ,かげろうでいず,か
267,60,仮死化,かしか,か
111,61,カトラリー,かとらりー,か
149,62,カナデトモスソラ,かなでともすそら,か
201,63,神のまにまに,かみのまにまに,か
147,64,からくりピエロ,からくりぴえろ,か
89,65,Color of Drops,からーおぶどろっぷす,か
243,66,Calc.,かるく,か
296,67,カンタレラ,かんたれら,か
200,68,ガランド,がらんど,か
281,69,気まぐれメルシィ,きまぐれめるしぃ,き
206,70,君色マリンスノウ,きみいろまりんすのう,き
237,71,君の夜をくれ,きみのよるをくれ,き
202,72,Q,きゅー,き
138,73,KING,きんぐ,き
83,74,Gimme×Gimme,ぎみぎみ,き
250,75,腐れ外道とチョコレゐト,くされげどうとちょこれいと,く
60,76,悔やむと書いてミライ,くやむとかいてみらい,く
228,77,Goodbye,ぐっどばい,く
198,78,グッバイ宣言,ぐっばいせんげん,く
46,79,グリーンライツ・セレナーデ,ぐりーんらいつせれなーで,く
166,80,Glory Steady Go!,ぐろーりーすてでぃごー,く
141,81,群青讃歌,ぐんじょうさんか,く
61,82,携帯恋話,けいたいれんわ,け
239,83,月光,げっこう,け
312,84,ココロ,こころ,こ
188,85,心予報,こころよほう,こ
233,86,コスモスパイス,こすもすぱいす,こ
279,87,こちら、幸福安心委員会です。,こちらこうふくあんしんいいんかいです,こ
247,88,Copycat,こぴーきゃっと,こ
199,89,ゴーストルール,ごーすとるーる,こ
142,90,再生,さいせい,さ
230,91,サラマンダー,さらまんだー,さ
192,92,去り人達のワルツ,さりびとたちのわるつ,さ
331,93,39,さんきゅー,さ
45,94,39みゅーじっく！,さんきゅーみゅーじっく,さ
104,95,サンドリヨン 10th Anniversary,さんどりよんてんすあにばーさりー,さ
259,96,the WALL,ざうぉーる,さ
185,97,しっくおぶはうす！,しっくおぶはうす,し
126,98,シネマ,しねま,し
19,99,シャルル,しゃるる,し
169,100,少女レイ,しょうじょれい,し
160,101,ショウタイム・ルーラー,しょうたいむるーらー,し
155,102,心拍数♯0822,しんぱくすうしゃーぷぜろはちにーにー,し
215,103,ジウダス,じうだす,し
272,104,ジェヘナ,じぇへな,し
163,105,the EmpErroR,じえんぺらー,し
67,106,自傷無色,じしょうむしょく,し
27,107,Just Be Friends,じゃすとびーふれんず,し
62,108,ジャックポットサッドガール,じゃっくぽっとさっどがーる,し
84,109,ジャンキーナイトタウンオーケストラ,じゃんきーないとたうんおーけすとら,し
235,110,Journey,じゃーにー,し
41,111,スイートマジック,すいーとまじっく,す
64,112,ステラ,すてら,す
159,113,STAGE OF SEKAI,すてーじおぶせかい,す
305,114,ストロボラスト,すとろぼらすと,す
219,115,砂の惑星,すなのわくせい,す
327,116,SnowMix♪,すのうみっくす,す
76,117,セカイ,せかい,せ
328,118,星界ちゃんと可不ちゃんのおつかい合騒曲,せかいちゃんとかふちゃんのおつかいがっそうきょく,せ
51,119,セカイはまだ始まってすらいない,せかいはまだはじまってすらいない,せ
223,120,千年の独奏歌,せんねんのどくそうか,せ
110,121,千本桜,せんぼんざくら,せ
165,122,そうだった！！,そうだった,そ
294,123,それがあなたの幸せとしても,それがあなたのしあわせとしても,そ
274,124,それでもいいんだよ,それでもいいんだよ,そ
8,125,タイムマシン,たいむましん,た
21,126,脱法ロック,だっぽうろっく,た
256,127,ダブルラリアット,だぶるらりあっと,た
152,128,だれかの心臓になれたなら,だれかのしんぞうになれたら,た
68,129,ダンスロボットダンス,だんすろぼっとだんす,た
168,130,ダーリンダンス,だーりんだんす,た
265,131,Change me,ちぇんじみー,ち
154,132,地球最後の告白を,ちきゅうさいごのこくはくを,ち
88,133,チュルリラ・チュルリラ・ダッダッダ！,ちゅるりらちゅるりらだっだっだ,ち
136,134,チルドレンレコード,ちるどれんれこーど,ち
71,135,ツギハギスタッカート,つぎはぎすたっかーと,つ
262,136,帝国少女,ていこくしょうじょ,て
3,137,テオ,てお,て
257,138,てらてら,てらてら,て
1,139,Tell Your World,てるゆあわーるど,て
134,140,テレキャスタービーボーイ,てれきゃすたーびーぼーい,て
112,141,天使のクローバー,てんしのくろーばー,て
326,142,天使の翼。,てんしのつばさ,て
270,143,泥中に咲く,でいちゅうにさく,て
